Plot.ID,d18O,Depth..cm.,Exploratory,Latitude,Longitude,Soil_Type_WRB
AEG1,-9.83,12,ALB,48.4,9.34,Leptosol
AEG1,-9.02,4,ALB,48.4,9.34,Leptosol
AEG1,-9.95,8,ALB,48.4,9.34,Leptosol
AEG10,-10.31,12,ALB,48.38,9.21,Leptosol
AEG10,-8.8,4,ALB,48.38,9.21,Leptosol
AEG15,-9.64,8,ALB,48.49,9.45,Leptosol
AEG15,-9.53,16,ALB,48.49,9.45,Leptosol
AEG15,-7.36,4,ALB,48.49,9.45,Leptosol
AEG15,-9.2,48,ALB,48.49,9.45,Leptosol
AEG15,-10.16,32,ALB,48.49,9.45,Leptosol
AEG15,-9.51,12,ALB,48.49,9.45,Leptosol
AEG18,-8.72,16,ALB,48.38,9.52,Leptosol
AEG18,-7.22,12,ALB,48.38,9.52,Leptosol
AEG18,-7.83,4,ALB,48.38,9.52,Leptosol
AEG2,-8.67,8,ALB,48.38,9.47,Leptosol
AEG2,-8.54,12,ALB,48.38,9.47,Leptosol
AEG2,-7.76,4,ALB,48.38,9.47,Leptosol
AEG20,-9.26,16,ALB,48.49,9.36,Leptosol
AEG20,-10.03,12,ALB,48.49,9.36,Leptosol
AEG20,-8.49,4,ALB,48.49,9.36,Leptosol
AEG20,-8.82,8,ALB,48.49,9.36,Leptosol
AEG21,-6.19,4,ALB,48.44,9.36,Leptosol
AEG21,-8.4,16,ALB,48.44,9.36,Leptosol
AEG22,-8.28,4,ALB,48.4,9.51,Leptosol
AEG22,-9.33,12,ALB,48.4,9.51,Leptosol
AEG22,-8.16,8,ALB,48.4,9.51,Leptosol
AEG26,-9.04,12,ALB,48.4,9.4,Leptosol
AEG26,-10.4,32,ALB,48.4,9.4,Leptosol
AEG26,-6.51,4,ALB,48.4,9.4,Leptosol
AEG26,-9.97,16,ALB,48.4,9.4,Leptosol
AEG26,-8.48,8,ALB,48.4,9.4,Leptosol
AEG3,-7.51,8,ALB,48.41,9.53,Leptosol
AEG3,-7.34,4,ALB,48.41,9.53,Leptosol
AEG3,-10.17,12,ALB,48.41,9.53,Leptosol
AEG30,-9.6,12,ALB,48.46,9.46,Leptosol
