Tube.ID,Plot.ID,Species,Plant.Type,d18O
B151,AEG4,Poa trivialis,grass,-8.82
B152,AEG4,Ranunculus acris,forb,-6.97
B153,AEG4,Alopecurus pratensis,grass,-7
B154,AEG4,Bromus hordeaceus,grass,-7.35
B156,AEG4,Galium mollugo agg,forb,-4.11
B157,AEG4,Trifolium pratense,forb,-2.17
B158,AEG4,Dactylis glomerata,grass,-7.81
B160,AEG6,Arrhenatherum elatius,grass,-6.87
B161,AEG45,Ranunculus acris,forb,-7.52
B162,AEG45,Poa trivialis,grass,-5.46
B163,AEG45,Holcus lanatus,grass,-7.63
B164,AEG45,cynosurus cristatus,grass,-7.24
B165,AEG45,Bromus hordeaceus,grass,-7.59
B166,AEG45,Alopecurus pratensis,grass,-8.11
B168,AEG45,Plantago lanceolata,forb,-7.4
B169,AEG45,Achillea millefolium agg,forb,-5.45
B170,AEG6,Alopecurus pratensis,grass,-5.77
B172,AEG6,Poa trivialis,grass,-5.43
B173,AEG6,cynosurus cristatus,grass,-6.31
B174,AEG6,Plantago lanceolata,forb,-7.08
B177,AEG5,Alopecurus pratensis,grass,-7.62
B178,AEG5,Poa trivialis,grass,-5.41
B179,AEG5,Dactylis glomerata,grass,-6.46
B180,AEG5,Anthoxanthum odoratum,grass,-7.83
B182,AEG39,Dactylis glomerata,grass,-7.32
B184,AEG39,Alopecurus pratensis,grass,-5.37
B185,AEG39,Anthoxanthum odoratum,grass,-7.94
B186,AEG39,Ranunculus acris,forb,-6.41
B187,AEG39,Plantago lanceolata,forb,-7.25
B188,AEG39,Taraxacum officinale,forb,-8.38
B190,AEG7,Bromus erectus,grass,-7.28
B191,AEG7,Plantago media,forb,-0.19
B193,AEG7,Koeleria pyramidata,grass,-1.32
B194,AEG2,Dactylis glomerata,grass,-7.16
B195,AEG2,Poa pratensis,grass,-5.92
B196,AEG2,Helictotrichon pubescens,grass,-7.26
B197,AEG2,Alopecurus pratensis,grass,-8.62
B198,AEG33,Dactylis glomerata,grass,-7.11
B200,AEG33,Anthoxanthum odoratum,grass,-4.82
B201,AEG33,Plantago lanceolata,forb,-7.61
B202,AEG33,Galium mollugo agg,forb,-2.25
B203,AEG33,Achillea millefolium agg,forb,-4.37
B204,AEG33,Ranunculus bulbosus,forb,-7.26
B205,AEG49,Trifolium pratense,forb,-2.53
B206,AEG49,Dactylis glomerata,grass,-5.3
B207,AEG49,Helictotrichon pubescens,grass,-3.25
B208,AEG49,Festuca pratensis,grass,-2.19
B209,AEG49,cynosurus cristatus,grass,-2.38
B210,AEG33,Ranunculus acris,forb,-5.53
B130,AEG46,Plantago lanceolata,forb,-7.66
B131,AEG46,Alopecurus pratensis,grass,-8.53
B134,AEG46,Trifolium pratense,forb,-7.18
B135,AEG20,Ranunculus acris,forb,-6.52
B136,AEG20,Arrhenatherum elatius,grass,-6.64
B137,AEG20,Galium mollugo agg,forb,-4.74
B138,AEG20,Poa trivialis,grass,-6.03
B139,AEG20,Anthoxanthum odoratum,grass,-5.38
B140,AEG20,Holcus lanatus,grass,-5.79
B147,AEG6,Galium mollugo agg,forb,-5.47
B211,AEG49,Alopecurus pratensis,grass,-7.02
B212,AEG49,Anthoxanthum odoratum,grass,-1.62
B213,AEG49,Plantago lanceolata,forb,-5.61
B214,AEG49,Ranunculus bulbosus,forb,-5.33
B215,AEG26,Bromus erectus,grass,-6.48
B216,AEG15,Alopecurus pratensis,grass,-9.57
B217,AEG15,Dactylis glomerata,grass,-8.09
B218,AEG15,Plantago lanceolata,forb,-7.4
B220,AEG15,Plantago media,forb,-7.5
B221,AEG15,Galium mollugo agg,forb,-4.08
B222,AEG15,Trifolium pratense,forb,-6.53
B223,AEG15,Ranunculus acris,forb,-5.51
B224,AEG15,Achillea millefolium agg,forb,-4.92
B225,AEG21,Dactylis glomerata,grass,-7.19
B226,AEG21,Poa pratensis,grass,-4.6
B227,AEG21,Arrhenatherum elatius,grass,-6.78
B228,AEG21,Plantago lanceolata,forb,-6.76
B229,AEG21,Anthoxanthum odoratum,grass,-4.34
B230,AEG21,Plantago media,forb,-5.3
B231,AEG21,cynosurus cristatus,grass,-5.99
B232,AEG21,Alopecurus pratensis,grass,-5.03
B233,AEG21,Ranunculus bulbosus,forb,-7.75
B234,AEG21,Achillea millefolium agg,forb,-6.63
B82,AEG8,Koeleria pyramidata,grass,-6.63
B83,AEG8,Achillea millefolium agg,forb,-1.97
B84,AEG8,Festuca ovina,grass,-2.44
B85,AEG8,Ranunculus bulbosus,forb,-7.95
B87,AEG31,Dactylis glomerata,grass,-4.64
B88,AEG31,Helictotrichon pubescens,grass,-1.59
B89,AEG31,Galium mollugo agg,forb,-6.36
B91,AEG31,Holcus lanatus,grass,-5.49
B92,AEG31,Plantago media,forb,-3.82
B93,AEG31,Leucanthemum vulgare,forb,-4.64
B94,AEG31,Trifolium pratense,forb,-2.64
B95,AEG31,Festuca ovina,grass,-4.48
B98,AEG30,Poa pratensis,grass,-8.27
B100,AEG30,Dactylis glomerata,grass,-8.55
B101,AEG30,Anthoxanthum odoratum,grass,-7.44
B102,AEG30,cynosurus cristatus,grass,-6.91
B103,AEG30,Festuca ovina,grass,-7.34
B104,AEG30,Helictotrichon pubescens,grass,-7.55
B105,AEG30,Plantago lanceolata,forb,-7.25
B106,AEG30,Plantago media,forb,-8.46
B107,AEG30,Trifolium pratense,forb,-7.95
B108,AEG30,Ranunculus acris,forb,-5.93
B109,AEG30,Taraxacum officinale,forb,-6.29
B110,AEG38,Poa pratensis,grass,-8.13
B111,AEG38,Alopecurus pratensis,grass,-7.03
B112,AEG38,Holcus lanatus,grass,-6.6
B113,AEG38,Festuca pratensis,grass,-7.04
B114,AEG38,cynosurus cristatus,grass,-7.39
B115,AEG38,Anthoxanthum odoratum,grass,-6.71
B116,AEG38,Ranunculus acris,forb,-7.22
B117,AEG38,Galium mollugo agg,forb,-5.2
B118,AEG38,Plantago lanceolata,forb,-7.71
B119,AEG1,Poa pratensis,grass,-5.2
B120,AEG1,Helictotrichon pubescens,grass,-5.63
B122,AEG1,Dactylis glomerata,grass,-7.35
B123,AEG1,Bromus hordeaceus,grass,-4.1
